# y+ ()         
# Time          	patch           	min             	max             	average         
1.63            	airfoil	1.36489487e-04	5.54044971e-03	2.14290678e-03
1.635           	airfoil	1.36573007e-04	5.53719687e-03	2.14464712e-03
1.64            	airfoil	1.36656655e-04	5.53392859e-03	2.14636243e-03
1.645           	airfoil	1.36740540e-04	5.53064065e-03	2.14804872e-03
1.65            	airfoil	1.36824285e-04	5.52733676e-03	2.14970739e-03
1.655           	airfoil	1.36908185e-04	5.52401476e-03	2.15133816e-03
1.66            	airfoil	1.36991855e-04	5.52067537e-03	2.15294361e-03
1.665           	airfoil	1.37075819e-04	5.51731898e-03	2.15453247e-03
1.67            	airfoil	1.37159408e-04	5.51394449e-03	2.15609762e-03
1.675           	airfoil	1.37243288e-04	5.51055347e-03	2.15764744e-03
1.68            	airfoil	1.37326807e-04	5.50745956e-03	2.15918203e-03
1.685           	airfoil	1.37410487e-04	5.50475026e-03	2.16070785e-03
1.69            	airfoil	1.37493895e-04	5.50202836e-03	2.16220635e-03
1.695           	airfoil	1.37577225e-04	5.49929473e-03	2.16368707e-03
1.7             	airfoil	1.37660661e-04	5.49654840e-03	2.16514997e-03
1.705           	airfoil	1.37743313e-04	5.49379041e-03	2.16659343e-03
1.71            	airfoil	1.37826539e-04	5.49101946e-03	2.16800695e-03
1.715           	airfoil	1.37906261e-04	5.48823695e-03	2.16940604e-03
1.72            	airfoil	1.37992945e-04	5.48543958e-03	2.17079466e-03
1.725           	airfoil	1.38076275e-04	5.48263064e-03	2.17216573e-03
1.73            	airfoil	1.38157704e-04	5.47980874e-03	2.17351869e-03
1.735           	airfoil	1.38237957e-04	5.47697350e-03	2.17485379e-03
1.74            	airfoil	1.38317894e-04	5.47412425e-03	2.17617232e-03
1.745           	airfoil	1.38404313e-04	5.47125959e-03	2.17746981e-03
1.75            	airfoil	1.38489071e-04	5.46838090e-03	2.17874820e-03
1.755           	airfoil	1.38571397e-04	5.46548826e-03	2.18000384e-03
1.76            	airfoil	1.38653044e-04	5.46258076e-03	2.18122978e-03
1.765           	airfoil	1.38734484e-04	5.45965805e-03	2.18243737e-03
1.77            	airfoil	1.38815653e-04	5.45671998e-03	2.18362561e-03
1.775           	airfoil	1.38896622e-04	5.45376634e-03	2.18478363e-03
1.78            	airfoil	1.38977372e-04	5.45079738e-03	2.18591908e-03
1.785           	airfoil	1.39058057e-04	5.44781427e-03	2.18702244e-03
1.79            	airfoil	1.38855731e-04	5.43897326e-03	2.18275724e-03
1.795           	airfoil	1.38871805e-04	5.43144987e-03	2.18341736e-03
1.8             	airfoil	1.38950907e-04	5.42591923e-03	2.18475793e-03
